MANZENT,mean
14101021001090,21.888603426241396
14101021001092,21.41547099618939
14101021001093,21.023208998666686
14101021001096,21.05060379600002
14101021001097,20.85993735688891
14101021001098,20.692038359916104
14101021001099,19.911710596000024
14101021001100,18.648195818608546
14101021001115,22.690661239905594
14101031001001,21.961427900062564
14101031001007,22.16206091551971
14101031001010,21.80797918739346
14101031001011,23.927126136674794
14101031001016,22.419254960000018
14101031001017,21.66563723955563
14101031001018,21.491709696328602
14101031001019,22.430304144682285
14101031001022,22.997863835582667
14101031001023,23.08064183000002
14101031001024,23.512160790102477
14101031001026,22.14175469506235
14101031001027,22.783811466239253
14101031001031,25.354913620200882
14101031001032,26.270029180038804
14101031001033,26.62753234165395
14101031001034,21.556006396010392
14101031001036,22.552151693190744
14101031001040,24.376801618154836
14101031001041,22.938046664682233
14101031001043,25.98929167656154
14101031001044,25.96855291534695
14101031001050,25.254141577116638
14101031001051,24.584431819514617
14101031001053,26.015627425725267
14101031001054,26.037680195011067
14101031001055,25.273977465706952
14101031001056,25.83001360215809
14101031001058,26.434731593144612
14101031001060,27.464173904827604
14101041001001,21.653654310195584
14101041001013,25.148780275428507
14101041001024,23.919557107610412
14101041001033,23.848069365930694
14101041002008,24.560065109715925
14101041003018,27.40158878000002
14101041003022,24.627181412230527
14101041004002,21.583498564745476
14101041004006,22.57133401388506
14101041004007,
14101041004009,24.364243161900024
14101041004012,24.68605231400003
14101041004013,24.536792090094007
14101041004020,23.7088267806586
14101041004023,
14101041004024,23.56692251695961
14101041005005,20.07006100097846
14101041005006,22.242021240253685
14101041005012,22.65085575333476
14101041005013,23.16485267499058
14101041005017,22.585989457687692
14101041005021,24.005766536556276
14101041005022,23.68949809037809
14101041005023,22.89310512272671
14101041005024,24.213681878846334
14101041005026,24.10443568427218
14101041005027,22.300482801893967
14101041005028,22.413382366437894
14101041005029,23.845569660530987
14101041005030,24.439024589048937
14101041005031,24.229259607717417
14101041005032,24.27862984109643
14101041005036,23.59874056117379
14101041005039,23.676372014446812
14101041005048,23.21793698474949
14101041005049,22.526737393979527
14101041005050,22.97402967530414
14101041005054,21.07253518069919
14101041005057,23.00691030311966
14101041005060,22.027953590652196
14101041005061,20.762608511208395
14101051001011,22.79193473070683
14101051001012,22.39240190217359
14101051001017,23.482301149449377
14101051001018,23.474609154575724
14101051001019,22.99477670377119
14101051001023,23.251045938248996
14101051001024,23.057703118000013
14101051001025,23.69322866984259
14101051001026,23.670463906250024
14101051001028,26.019124308989895
14101061001011,18.89488345114751
14101051001029,25.744067231307003
14101051001037,21.434789070857185
14101051001039,21.661493010073674
14101051001042,21.560512998169923
14101051001052,23.41094149036714
14101051001053,21.98357683378932
14101051001058,23.511452544257097
14101051001059,23.28478098810649
14101051001065,22.79201817714026
14101051001066,20.81246676645325
14101051001071,22.73287648405873
14101051001072,23.789088942685133
14101051001073,24.317963934067816
14101051001074,24.325999967926617
14101051001075,22.995437971215928
14101051001076,22.46368456606206
14101051002014,24.54367670671458
14101051002017,21.294762504664874
14101051002023,24.091063394335812
14101051002024,22.648690210938156
14101051002034,22.363751989697448
14101051002042,21.864578392256227
14101051002043,21.2042835305175
14101051002053,21.834396544230444
14101051002061,23.7382869666595
14101051002063,25.871197889677447
14101051002064,24.414003574482773
14101051002065,25.336610986000018
14101051003017,21.545180986012383
14101051003018,25.77310182431321
14101051003030,25.123037773225583
14101051003032,21.89706799631057
14101051003037,23.019787670000017
14101051003040,20.85980471201128
14101051003044,21.065067988571453
14101051003045,21.259990372767188
14101051003047,23.787347995366254
14101051003048,21.617102633000023
14101051004003,23.227604863974005
14101051004004,21.437064714628868
14101051004005,25.928316938600013
14101051004006,26.131410641241402
14101051004008,26.0729345302217
14101051005001,24.3746852010089
14101051005010,21.550993438914578
14101051005018,22.98710425000002
14101051005020,22.956023743216534
14101051005039,23.176742224372788
14101051005040,21.820585120053767
14101051005043,23.626449264297726
14101051005045,26.834680875806743
14101051005046,25.586205766791682
14101051005047,27.107100578823598
14101061001004,22.103165621460082
14101061001007,23.259092930098944
14101061001016,22.462667372267365
14101061001026,22.049495667937972
14101061001027,22.24335032269317
14101061001029,22.62543476118796
14101061001031,22.59762043486641
14101061001032,22.021276522448993
14101061001033,25.0588119231724
14101061001034,24.43121569362397
14101061001035,23.22067374322879
